Time,Action,Detail,Horizon,Timescale
18,Planning,Hackathon,4 months,4
260,Intention,Purpose of this meeting,Now,1
303,Reflecting,Meeting with external person,Last week,2
350,Intention,Should have follow-up conversations,Near future,4
399,Intention,General task for all members of the team,Near future,4
442,Planning,Propose a meeting to discuss a topic about model,Near future,4
457,Recollecting,Chat with Team member,Last week,2
469,Reflecting,Revisiting the goal of this meeting,Now,1
485,Reflecting,Discussions with team leader,Recent past,4
495,Intention,Avoidance of certain outcome,Near future,4
509,Recollecting,Seeking information about a plan,Recent past,4
534,Simulation,Thinking about possible pathways,Near future,4
555,Simulation,Thinking about possible pathways,Near future,4
578,Reflecting,Changes to the organization,Over the last year,5
593,Intention,Effects on the goals of the team,Near and distant future,5
606,Reflecting,On events in the past and how things were,Last few years,5
631,Intention,Mandate to do more with other teams,Near and distant future,5
648,Intention,Goals for the team,Near and distant future,5
693,Prediction,Possibilities of doing something in the future,Distant future,5
781,Intention,To work with another team,Near and distant future,5
817,Simulation,To make a point about a non-ideal eventuality,Near future,4
822,Intention,On what the team should be doing,Near future,4
844,Simulation,Future discussions based on team interests,Near future,4
864,Recollecting,Meeting with external team members,Recent past,4
886,Planning,Specific task to share documents,This week,2
907,Recollecting,Previous meeting on brainstorming,Distant past,5
959,Simulation,Changes to the way in which the team works,Near and distant future,5
1011,Prediction,Of more meetings and connections,Near and distant future,5
1031,Recollecting,Conversation with External member,Recent past,4
1055,Planning,To meet and plan together,Near and Distant future,5
1064,Reflecting,On past practices,Distant past,5
1077,Recollecting,Meeting with external team members,Last week,2
1100,Intention,Goal for the team,Near future,4
1116,Simulation,Possible pathways ,Near future,4
1126,Reflecting,Work done in the past,Distant past,5
1153,Prediction,Of future tasks,Near and distant future,5
1210,Recollecting,On the conference experience,Last week,2
1221,Recollecting,Conference,Last week,2
1242,Recollecting,Conference,Last week,2
1251,Recollecting,Producing a video,Last week,2
1258,Planning,To do something similar,Next year,5
1267,Recollecting,A task done by the team,Last week,2
1279,Recollecting,Other conversations that follow-on from the task,Recent past,4
1300,Recollecting,Information from the team,Last week,2
1306,Recollecting,Moment in time for a task,Few months ago,4
1335,Recollecting,Idea from another member of the team,Few months ago,4
1347,Recollecting,Tasks done,Few months ago,4
1373,Recollecting,On how things were at the start,Distant past,5
1417,Simulation,Discussing a possibility ,Near and distant future,5
1428,Simulation,Discussing a possibility ,Near and distant future,5
1444,Recollecting,Ongoing conversation,Recent past,4
1459,Recollecting,Ongoing conversation,Last couple of months,4
1467,Reflecting,Changes in the organization,Last few months/over the last year,5
1493,Recollecting,What leadership did at the time of the taking over team,Two years ago,5
1513,Recollecting,An intention or decision,Over the last few years,5
1527,Planning,A high priority investigation,Next few months,4
1544,Intention,About the way things will be,Near and distant future,5
1567,Recollecting,Other conversations that team member has been driving,Recent past,4
1593,Recollecting,Intention from before,2 years ago,5
1622,Recollecting,Tasks that someone else is doing that might lead to simulation,Recent past,4
1634,Recollecting,Other meeting in different office,Recent past,4
1646,Recollecting,A prediction made in those meetings,Recent past,4
1670,Reflecting,Call to share feelings,Recent and distant past,5
1696,Reflecting,Sharing nervousness in the past,Recent past,4
1715,Recollecting,A simulation/prediction made in the past,Recent past,4
1728,Reflecting,On what has happened,The last few months,4
1750,Prediction,On what will happen to the product,Distant future,5
1797,Prediction,On what will happen to the product,Distant future,5
1831,Simulation,Of possible things that might provide traction,Distant future,5
1844,Intention,Finding a right mix,Near and distant future,5
1866,Recollecting,A thought from before,Recent past,4
1882,Prediction,Of something else that might happen,Near and distant future,5
1922,Intention,Stating something that needs a plan,Near and distant future,5
1929,Recollecting,Things that the broader organization has done,Distant past,5
1938,Reflecting,Changes that have come back,Distant past,5
1956,Recollecting,Previous conversation with leadership,Last week,2
1994,Recollecting,A thought in the previous meeting,Last week,2
2007,Recollecting,Knowledge about the organization,Recent past,4
2025,Recollecting,Knowledge about the organization,Recent past,4
2049,Recollecting,Knowledge about the organization,Recent past,4
2080,Simulation,To say multiple things might happen,Near future,4
2099,Recollecting,Conversation with leadership,Last week,2
2128,Planning,Task for Q3,Next few months,4
2138,Recollecting,Reaffirming intention,Recent and distant past,5
2150,Intention,For the team,Near and distant future,5
2169,Recollecting,Task done by team member,Recent past,4
2193,Recollecting,Report from a conference,Few days ago,2
2221,Planning,Share something as a task,Next few days,2
2246,Recollecting,Conversation with someone - a brand,Distant past,5
2264,Recollecting,Something shared with team before,Multiple points in the recent past,4
2280,Recollecting,Some information related to it,Distant past,5
2348,Simulation,Of what might be possible,Near future,4
2362,Recollecting,Conversation with team member,Recent past,4
2375,Recollecting,Action done,Recent past,4
2409,Recollecting,Conversation with leadership,Last week,2
