Time,Action,Detail,Horizon,Timescale
39,Recollecting,Prior action of editing the website,This week,2
78,Planning,Adding content to the website,Next few weeks,3
93,Prediction,A broader update to the website,Near future,4
122,Reflecting,On the workshop,Two days ago,2
138,Planning,Future workshops,Next week,2
170,Recollecting,Reference to prior conversation on theoretical frameworks,This week,2
208,Recollecting,Work done on frameworks,Last week,2
442,Recollecting,Aims of an external collaboration,Recent past,4
471,Intention,Culmination of research work,Near and distant future,5
625,Simulation,Different ways of going about the activity,Next few weeks,3
690,Intention,To clarify and present content ,Next few weeks,3
708,Intention,For the team to understand each others' work,Next few weeks,3
758,Intention,The main purpose of the activity,Next few weeks,3
778,Reflecting,On doing the exercise,Last week,2
855,Intention,To create a hierarchy of frameworks,Near future,4
925,Planning,For a meeting to discuss further steps,Next few weeks,3
973,Simulation,Reasons why certain ideas might be incorporated in the document,Next few weeks,3
1032,Intention,To deliniate different types of goals and information,Next few weeks,3
1084,Simulation,Possible next steps for discussion,Next few weeks,3
1115,Intention,For the team to focus on methods,Distant future,5
1135,Intention,For the team to focus on validity,Distant future,5
1164,Planning,Laying down next steps for the discussion,Near future,4
1226,Planning,Further steps in the process,Near future,4
1289,Prediction,What the outcome should look like,Next few weeks,3
1326,Planning,Specific ways to go about the task,Next few weeks,3
1404,Recollecting,Out of work event,Last week,2
1414,Planning,Doing a demo,Next week,2
1437,Recollecting,A conversation with an external group,This morning,1
1474,Reflecting,Overlaps with current work in the team,Recent past,4
1504,Recollecting,Information from the meeting today,This morning,1
1537,Planning,Working on a proposal ,Next few months,4
1554,Reflecting,On value of collaboration,This morning,1
1557,Intention,Enable to expand team capacity,Near and distant future,5
1574,Planning,Connect team to relevant resources,Next few months,4
1596,Recollecting,Another conversation with a different external collaborator,This morning,1
1622,Planning,Upcoming presentation scheduled,Next week,2
1641,Recollecting,Remembering information from conversation,This morning,1
1674,Reflecting,On the work discussed,This morning,1
1704,Intention,To form partnerships and scale work,Near and distant future,5
1776,Recollecting,A conversation with another team member,Last week,2
1800,Recollecting,Conversation with other team,Last week,2
1805,Planning,Working towards an upcoming internal conference,Three months from now,4
1815,Recollecting,Requirements for the plan,This week,2
1848,Reflecting,On the tasks that need to be done,This week,2
1871,Recollecting,Member sharing multiple demos,Last week,2
1882,Recollecting,Responses from an external member,This week,2
1945,Intention,To create some videos,Next few weeks,3
1969,Simulation,Possible ways of generating ideas,Next week,2
1983,Recollecting,Demo done in previous meeting of this series,Last week,2
1990,Recollecting,Conversation with external member,Last week,2
2061,Recollecting,Conversation with external team member,Last week,2
2101,Planning,Steps to run a study,Next few weeks,3
2115,Planning,Developing a video,Next few weeks,3
2142,Recollecting,Chat with external member,This morning,1
2144,Recollecting,Chat between external member and other members,Last week,2
2159,Intention,To work more closely with the team,Near future,4
2183,Planning,Steps to put together a video,Next few weeks,3
2215,Planning,Creating a deliverable for the internal conference,Next few months,4
2226,Planning,Steps working backwards from deadline,Next few weeks,3
2258,Planning,Next steps,Next week,2
2280,Planning,Ways to coordinate ,Next week,2
2301,Planning,Likelihood of finding a specific time,Next week,2
2359,Recollecting,Details from conversation with external member,Last week,2
2428,Reflecting,On discussions with other team,Last week,2
2506,Recollecting,What the other team wants to achieve with this,Last week,2
2548,Planning,Sharing the demo with the team,Next few days,2
2571,Planning,Making a video,Next few weeks,3
2599,Recollecting,What external member said,Last week,2
2641,Planning,Outcomes from the upcoming workshop,Next week,2
2666,Planning,Dividing resources and time for tasks,Next few weeks,3
2700,Planning,Creating videos by the Friday,Next week,2
2710,Intention,Why the team is doing any of this,Next few months,4
2742,Intention,To talk to a leader and present outcomes,Next few months,4
2761,Planning,Immediate next steps,This week,2
2781,Planning,Setting a time for more people to be able to attend,Next week,2
2892,Planning,Beginning efforts towards internal hackathon,Next few weeks,3
2911,Planning,Coordinating with other teams for the hackathon,Next few months,4
2928,Recollecting,Conversations from another meeting,Recent past,4
2951,Planning,Need to set up meetings with other team,Next few weeks,3
2961,Planning,Conversation with external team,Last week,2
2990,Intention,Finding synergies between teams,Near future,4
3012,Planning,Will reach out to specific team member,Next few days,2
3024,Planning,A timeline for the meetings,Next few weeks,3
